left_record_uid,right_record_uid,left_source,right_source,left_name,right_name,left_status,right_status,distance_m,name_score,match_rule,is_grouped_match
NAICS:naics_171,PNNL:building_00596690174,NAICS,PNNL,VA1 DATA CENTER,Amazon IAD80,Operating/inferred,Operating/inferred,621.97,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_859,PNNL:building_00298127059,FracTracker,PNNL,BLUE SLING ACC 9,Equinix Ashburn DC1,Operating,Operating/inferred,622.278,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_1246,PNNL:building_01344901568,FracTracker,PNNL,QTS Lockridge ASH2 Quality Tech Lane DC1,,Operating,Operating/inferred,622.568,0.0,candidate_only,False
FracTracker:frac_row_837,PNNL:campus_01317915930,FracTracker,PNNL,21745 BEAUMEADE CIR,Centersquare Ashburn IAD4 Data Center,Operating,Operating/inferred,622.718,0.0,candidate_only,False
NAICS:naics_117,PNNL:building_00209087373,NAICS,PNNL,"1100 SPACE PARK, LLC",Silicon Valley SJC31,Operating/inferred,Operating/inferred,622.73,0.0,candidate_only_low_specificity,False
FracTracker:frac_row_1286,PNNL:building_01193914602,FracTracker,PNNL,Vantage Data Center,,Operating,Operating/inferred,622.743,0.0,candidate_only,False
FracTracker:frac_row_1221,PNNL:building_00697020849,FracTracker,PNNL,IAD3 Evoque Cyxtera,Amazon IAD58,Operating,Operating/inferred,622.866,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_964,NAICS:naics_290,FracTracker,NAICS,SENTINEL ASHBURN II,AMERICAN REAL ESTATE PARTNERS (AREP),Operating,Operating/inferred,622.982,0.0,candidate_only,False
FracTracker:frac_row_1183,PNNL:building_01188680255,FracTracker,PNNL,22660 Executive Dr Prologis,Amazon IAD192,Proposed,Operating/inferred,623.303,0.0,candidate_only,False
FracTracker:frac_row_563,NAICS:naics_457,FracTracker,NAICS,Flexential Hillsboro 4,"NTT GLOBAL DATA CENTERS HI, LLC",Operating,Operating/inferred,623.304,0.0,candidate_only,False
FracTracker:frac_row_872,PNNL:building_01443187163,FracTracker,PNNL,EQUINIX ASHBURN EAST,CloudHQ LC3,Proposed,Operating/inferred,623.67,0.0,candidate_only,False
FracTracker:frac_row_837,PNNL:building_01088203906,FracTracker,PNNL,21745 BEAUMEADE CIR,Amazon Web Services,Operating,Operating/inferred,624.158,0.0,candidate_only,False
FracTracker:frac_row_766,PNNL:building_01426525218,FracTracker,PNNL,Red Oak Data Center Campus,Compass Data Center,Approved/Permitted/Under construction,Operating/inferred,624.264,0.0,candidate_only,False
