site_group_id,canonical_name,sources,source_count,member_count,primary_source,primary_source_layer,primary_record_uid,status_summary,is_currently_built,has_pipeline_status,state,county,city,latitude,longitude,coordinate_valid,geometry_type,operator_summary,name_aliases,facility_size_sqft,campus_area_sqft,mw_summary,reference_confidence,match_notes
site_02360,Amazon PDX69,PNNL,1,1,PNNL,building,PNNL:building_01126159715,Operating/inferred,True,False,OR,Umatilla County,,45.9050943707071,-119.32016656388497,True,Polygon,Amazon Web Services,Amazon PDX69,219735.0,,,single_source_geometry,
site_02361,,PNNL,1,1,PNNL,building,PNNL:building_01127951468,Operating/inferred,True,False,OR,Umatilla County,,45.915709847092806,-119.26998056724547,True,Polygon,,,15313.0,,,single_source_geometry,
site_02362,,PNNL,1,1,PNNL,building,PNNL:building_01128589933,Operating/inferred,True,False,VA,Loudoun County,,39.06964742434577,-77.56077132424072,True,Polygon,,,242639.0,,,single_source_geometry,
site_02363,,PNNL,1,1,PNNL,building,PNNL:building_01128589934,Operating/inferred,True,False,VA,Loudoun County,,39.0696544548206,-77.55943345346945,True,Polygon,,,247061.0,,,single_source_geometry,
site_02364,,PNNL,1,1,PNNL,building,PNNL:building_01133944585,Operating/inferred,True,False,IL,Madison County,,38.81056014127996,-89.94870327621621,True,Polygon,,,204.0,,,single_source_geometry,
site_02365,AWS IAD105,PNNL,1,1,PNNL,building,PNNL:building_01134911640,Operating/inferred,True,False,VA,Prince William County,,38.747595868302135,-77.51947530248223,True,Polygon,Amazon Web Services,AWS IAD105,214270.0,,,single_source_geometry,
site_02366,AWS IAD104,PNNL,1,1,PNNL,building,PNNL:building_01134911641,Operating/inferred,True,False,VA,Prince William County,,38.748373835423195,-77.52070480173404,True,Polygon,Amazon Web Services,AWS IAD104,214258.0,,,single_source_geometry,
site_02367,,PNNL,1,1,PNNL,building,PNNL:building_01143804764,Operating/inferred,True,False,MD,Howard County,,39.13368478590359,-76.85140715035047,True,Polygon,,,112205.0,,,single_source_geometry,
site_02368,,PNNL,1,1,PNNL,building,PNNL:building_01152747559,Operating/inferred,True,False,OR,Crook County,,44.30167224151622,-120.89459613565029,True,Polygon,,,455401.0,,,single_source_geometry,
site_02369,,PNNL,1,1,PNNL,building,PNNL:building_01152748037,Operating/inferred,True,False,OR,Crook County,,44.299287947754344,-120.89459469330099,True,Polygon,,,241183.0,,,single_source_geometry,
site_02370,Digital Realty PDX11 Data Center,PNNL,1,1,PNNL,building,PNNL:building_01153935548,Operating/inferred,True,False,OR,Washington County,,45.568459285228734,-122.919968912523,True,Polygon,Digital Realty,Digital Realty PDX11 Data Center,287848.0,,,single_source_geometry,
site_02371,Datacenter (386),PNNL,1,1,PNNL,building,PNNL:building_01154349280,Operating/inferred,True,False,IL,DuPage County,,41.707134165979966,-87.97595597595401,True,Polygon,UChicago Argonne LLC,Datacenter (386),12413.0,,,single_source_geometry,
site_02372,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01154503131,Operating/inferred,True,False,OH,Franklin County,,40.10176652448264,-83.1995825830434,True,Polygon,Amazon Web Services,Amazon Web Services,150776.0,,,single_source_geometry,
site_02373,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01154503132,Operating/inferred,True,False,OH,Franklin County,,40.100768130406955,-83.19947533976502,True,Polygon,Amazon Web Services,Amazon Web Services,150211.0,,,single_source_geometry,
site_02374,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01154503133,Operating/inferred,True,False,OH,Franklin County,,40.09978650124,-83.1992604839832,True,Polygon,Amazon Web Services,Amazon Web Services,131786.0,,,single_source_geometry,
site_02375,NTT Chicago CH1,PNNL,1,1,PNNL,building,PNNL:building_01154636644,Operating/inferred,True,False,IL,DuPage County,,41.98791937605658,-88.00726495418601,True,Polygon,NTT,NTT Chicago CH1,113535.0,,,single_source_geometry,
